id,AtomicOrbitals|HOMO_character,AtomicOrbitals|HOMO_element,AtomicOrbitals|HOMO_energy,AtomicOrbitals|LUMO_character,AtomicOrbitals|LUMO_element,AtomicOrbitals|LUMO_energy,AtomicOrbitals|gap_AO,BandCenter|band center,ElementProperty|MagpieData minimum MendeleevNumber,ElementProperty|MagpieData maximum MendeleevNumber,ElementProperty|MagpieData range MendeleevNumber,ElementProperty|MagpieData mean MendeleevNumber,ElementProperty|MagpieData avg_dev MendeleevNumber,ElementProperty|MagpieData mode MendeleevNumber,ElementProperty|MagpieData maximum AtomicWeight,ElementProperty|MagpieData range AtomicWeight,ElementProperty|MagpieData mean AtomicWeight,ElementProperty|MagpieData avg_dev AtomicWeight,ElementProperty|MagpieData maximum CovalentRadius,ElementProperty|MagpieData range CovalentRadius,ElementProperty|MagpieData mean CovalentRadius,ElementProperty|MagpieData avg_dev CovalentRadius,ElementProperty|MagpieData minimum Electronegativity,ElementProperty|MagpieData maximum Electronegativity,ElementProperty|MagpieData range Electronegativity,ElementProperty|MagpieData mean Electronegativity,ElementProperty|MagpieData avg_dev Electronegativity,ElementProperty|MagpieData mode Electronegativity,ElementProperty|MagpieData minimum NsValence,ElementProperty|MagpieData range NsValence,ElementProperty|MagpieData mean NsValence,ElementProperty|MagpieData avg_dev NsValence,ElementProperty|MagpieData mode NsValence,ElementProperty|MagpieData maximum NpValence,ElementProperty|MagpieData range NpValence,ElementProperty|MagpieData mean NpValence,ElementProperty|MagpieData avg_dev NpValence,ElementProperty|MagpieData maximum NdValence,ElementProperty|MagpieData range NdValence,ElementProperty|MagpieData mean NdValence,ElementProperty|MagpieData avg_dev NdValence,ElementProperty|MagpieData maximum NfValence,ElementProperty|MagpieData range NfValence,ElementProperty|MagpieData mean NfValence,ElementProperty|MagpieData avg_dev NfValence,ElementProperty|MagpieData maximum NValence,ElementProperty|MagpieData range NValence,ElementProperty|MagpieData mean NValence,ElementProperty|MagpieData avg_dev NValence,ElementProperty|MagpieData maximum NsUnfilled,ElementProperty|MagpieData range NsUnfilled,ElementProperty|MagpieData mean NsUnfilled,ElementProperty|MagpieData avg_dev NsUnfilled,ElementProperty|MagpieData mean NpUnfilled,ElementProperty|MagpieData avg_dev NpUnfilled,ElementProperty|MagpieData maximum NdUnfilled,ElementProperty|MagpieData range NdUnfilled,ElementProperty|MagpieData mean NdUnfilled,ElementProperty|MagpieData avg_dev NdUnfilled,ElementProperty|MagpieData minimum NUnfilled,ElementProperty|MagpieData maximum NUnfilled,ElementProperty|MagpieData range NUnfilled,ElementProperty|MagpieData mean NUnfilled,ElementProperty|MagpieData avg_dev NUnfilled,ElementProperty|MagpieData mode NUnfilled,ValenceOrbital|avg s valence electrons,ValenceOrbital|avg p valence electrons,ValenceOrbital|avg d valence electrons,ValenceOrbital|avg f valence electrons,ValenceOrbital|frac s valence electrons,ValenceOrbital|frac p valence electrons,ValenceOrbital|frac d valence electrons,ValenceOrbital|frac f valence electrons,YangSolidSolution|Yang omega,YangSolidSolution|Yang delta,hull_distance
34072651,1.0,0.48051948051948057,0.8943236181411963,1.0,0.48051948051948057,0.8943236181411963,0.0,0.40409506640448684,0.78,0.0625,0.18181818181818182,0.6890756302521008,0.21893491124260359,0.78,0.314366388499777,0.314366388499777,0.22273177352750426,0.3364367822955055,0.4545454545454546,0.4545454545454546,0.43930635838150284,0.38775510204081626,0.4756097560975611,0.2222222222222224,0.34146341463414637,0.5784615384615384,0.2406015037593985,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.24999999999999994,0.0,0.4444444444444444,0.4444444444444444,0.33333333333333337,0.5217391304347826,0.0,0.0,0.0,0.0,0.12,0.12,0.1016949152542373,0.15254237288135594,1.0,1.0,1.0,1.0,1.0,1.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0,0.25,0.1111111111111111,0.6842105263157896,0.1764705882352941,1.0,0.0,0.24999999999999994,0.33333333333333337,0.0,0.4624697336561742,0.3626373626373637,0.6149068322981365,0.0,3.056272272975293e-08,0.3215380475293767,0.0493279139999991
95063127,0.0,0.5194805194805195,0.8862640899738712,0.0,0.5194805194805195,0.8862640899738712,0.0,0.3403189218322669,0.96,0.0625,0.045454545454545456,0.8403361344537816,0.05917159763313612,0.96,0.35717534434906506,0.35717534434906495,0.2530623527750987,0.38204258241562217,0.2727272727272727,0.2727272727272727,0.3005780346820806,0.26530612244897955,0.4756097560975611,0.444444444444444,0.43902439024390244,0.6523076923076924,0.30451127819548873,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.24999999999999994,0.0,0.7777777777777777,0.7777777777777777,0.5833333333333334,0.9130434782608695,0.0,0.0,0.0,0.0,0.24,0.24,0.2033898305084746,0.3050847457627119,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.2222222222222222,0.36842105263157904,0.3529411764705882,0.3333333333333333,0.0,0.24999999999999994,0.5833333333333334,0.0,0.30320150659133654,0.2564102564102565,0.7971014492753632,0.0,2.223427826016148e-08,0.25137978104870057,0.336500066333337
62945318,1.0,0.5064935064935066,0.5344028880501874,1.0,0.5064935064935066,0.5344028880501874,0.0,0.38260538523675225,0.9,0.0625,0.09090909090909091,0.7899159663865546,0.11242603550295859,0.9,0.34586214321720005,0.34586214321720005,0.24504683507169941,0.3699902541281736,0.33333333333333337,0.33333333333333337,0.34682080924855485,0.30612244897959184,0.4756097560975611,0.2962962962962965,0.37398373983739835,0.6030769230769231,0.25563909774436094,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.24999999999999994,0.0,0.6666666666666666,0.6666666666666666,0.5,0.7826086956521738,0.0,0.0,0.0,0.0,0.2,0.2,0.1694915254237288,0.2542372881355932,1.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.14285714285714285,0.14285714285714282,0.14285714285714285,0.8,0.0,0.1111111111111111,0.4736842105263157,0.1764705882352941,0.6666666666666666,0.0,0.24999999999999994,0.5,0.0,0.3477966101694915,0.28615384615384665,0.7460869565217394,0.0,3.073639045342128e-08,0.2702424879233955,0.1630606999999937
60897513,1.0,0.8961038961038962,0.46985092712974774,1.0,0.8961038961038962,0.46985092712974774,0.0,0.298913626879528,0.8,0.0625,0.16666666666666669,0.7058823529411764,0.20118343195266275,0.8,0.8560194070060663,0.856019407006066,0.6064984288120193,0.9134777029716049,0.5757575757575758,0.5757575757575758,0.5317919075144505,0.4897959183673468,0.4756097560975611,0.5925925925925922,0.5040650406504065,0.7015384615384617,0.39473684210526316,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.24999999999999994,0.0,0.3333333333333333,0.3333333333333333,0.25000000000000006,0.3913043478260869,1.0,1.0,0.6666666666666666,1.0,0.68,0.68,0.576271186440678,0.8644067796610171,0.0,0.0,0.0,0.0,1.0,1.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0,0.25,0.1111111111111111,0.6842105263157896,0.1764705882352941,1.0,1.0,0.24999999999999994,0.25000000000000006,0.6666666666666666,0.12971290210999625,0.08948194662480381,0.1251109139307898,0.9183673469387751,4.2329540327204184e-08,0.28005549153219744,0.1301192364999988
17042638,0.0,0.28571428571428575,0.5715007005541319,0.0,0.28571428571428575,0.5715007005541319,0.0,0.5616817948668467,0.9400000000000001,0.0625,0.06060606060606061,0.8235294117647057,0.07692307692307693,0.9400000000000001,0.08614972152328905,0.08614972152328904,0.061037951147873415,0.09330999978646595,0.030303030303030304,0.030303030303030304,0.11560693641618494,0.10204081632653057,0.4756097560975611,0.0,0.24390243902439024,0.40615384615384625,0.15413533834586465,0.8048780487804877,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.24999999999999994,0.0,0.6666666666666666,0.6666666666666666,0.5,0.7826086956521738,0.0,0.0,0.0,0.0,0.24,0.24,0.2033898305084746,0.3050847457627119,0.0,0.0,0.0,0.0,1.0,1.0,0.14285714285714285,0.14285714285714285,0.14285714285714282,0.14285714285714285,0.6000000000000001,0.0,0.2222222222222222,0.36842105263157904,0.3529411764705882,0.3333333333333333,1.0,0.24999999999999994,0.5,0.0,0.44256120527306886,0.2564102564102565,0.6811594202898544,0.0,2.563751173222804e-08,0.19495412038393486,0.1411405013333366
87904612,0.5,0.0,1.0,0.5,0.0,1.0,0.0,0.6956943624069001,0.76,0.0625,0.19696969696969696,0.6722689075630253,0.23668639053254437,0.76,0.04339257033513604,0.043392570335136035,0.03074407602792649,0.047759388889588784,0.2272727272727273,0.2272727272727273,0.26589595375722547,0.23469387755102034,0.4756097560975611,0.0,0.24390243902439024,0.27076923076923104,0.3195488721804512,0.5365853658536585,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.24999999999999994,0.0,0.4444444444444444,0.4444444444444444,0.33333333333333337,0.5217391304347826,0.0,0.0,0.0,0.0,0.12,0.12,0.1016949152542373,0.15254237288135594,1.0,1.0,1.0,1.0,1.0,1.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0,0.25,0.1111111111111111,0.6842105263157896,0.1764705882352941,1.0,0.0,0.24999999999999994,0.33333333333333337,0.0,0.4624697336561742,0.3626373626373637,0.6149068322981365,0.0,2.6124655763109806e-08,0.23363148041782278,0.1259729250384405
78510264,0.0,0.1038961038961039,0.05153806344117243,0.0,0.1038961038961039,0.05153806344117243,0.0,0.5912765196846241,0.88,0.0625,0.10606060606060606,0.7731092436974792,0.13017751479289943,0.88,0.06711546863883264,0.06711546863883262,0.047551989996116886,0.07303217905333752,0.12121212121212122,0.12121212121212122,0.18497109826589567,0.16326530612244897,0.4756097560975611,0.0,0.24390243902439024,0.3753846153846158,0.19172932330827072,0.7439024390243903,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.24999999999999994,0.0,0.5555555555555556,0.5555555555555556,0.4166666666666667,0.6521739130434782,0.0,0.0,0.0,0.0,0.2,0.2,0.1694915254237288,0.2542372881355932,0.0,0.0,0.0,0.0,1.0,1.0,0.2857142857142857,0.2857142857142857,0.28571428571428575,0.2857142857142857,0.8,0.0,0.1111111111111111,0.4736842105263157,0.1764705882352941,0.6666666666666666,1.0,0.24999999999999994,0.4166666666666667,0.0,0.4983050847457626,0.28615384615384665,0.6208695652173915,0.0,2.8155343945663733e-08,0.19495412038393486,0.0811134968083155
23045176,0.0,0.29870129870129875,0.5319477929389193,0.0,0.29870129870129875,0.5319477929389193,0.0,0.54415114127092,1.0,0.0625,0.015151515151515152,0.8739495798319328,0.023668639053254458,1.0,0.08467173238386351,0.0846717323838635,0.05999078085766,0.09173544894926153,0.0,0.0,0.09248554913294804,0.08163265306122443,0.4756097560975611,0.0,0.24390243902439024,0.42461538461538473,0.14661654135338348,0.8414634146341463,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.24999999999999994,0.0,0.7777777777777777,0.7777777777777777,0.5833333333333334,0.9130434782608695,0.0,0.0,0.0,0.0,0.28,0.28,0.23728813559322032,0.3559322033898305,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.3333333333333333,0.2631578947368421,0.5294117647058822,0.0,1.0,0.24999999999999994,0.5833333333333334,0.0,0.3945061367621282,0.23076923076923134,0.7331334332833578,0.0,2.3882504062861985e-08,0.20197348539717377,0.3178395936969655
71453068,1.0,0.49350649350649356,0.1564381555861303,1.0,0.49350649350649356,0.1564381555861303,0.0,0.549976216236269,0.84,0.0625,0.13636363636363635,0.7394957983193275,0.16568047337278105,0.84,0.3269400361756171,0.32694003617561707,0.23164033038663503,0.3498319060799758,0.3484848484848485,0.3484848484848485,0.35838150289017306,0.31632653061224475,0.4756097560975611,0.0,0.24390243902439024,0.41846153846153855,0.14285714285714288,0.8292682926829268,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.24999999999999994,0.0,0.4444444444444444,0.4444444444444444,0.33333333333333337,0.5217391304347826,0.0,0.0,0.0,0.0,0.16,0.16,0.13559322033898302,0.2033898305084746,0.0,0.0,0.0,0.0,1.0,1.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0,0.0,0.0,0.5789473684210527,0.0,1.0,1.0,0.24999999999999994,0.33333333333333337,0.0,0.5637435519528367,0.3210702341137141,0.5500945179584119,0.0,2.8907096263955374e-08,0.29010452256699226,0.066125964857143
45628709,1.0,0.2337662337662338,0.5706360526614745,1.0,0.2337662337662338,0.5706360526614745,0.0,0.7147781915378646,0.7000000000000001,0.0625,0.24242424242424243,0.6218487394957982,0.2899408284023669,0.7000000000000001,0.036892487570949276,0.036892487570949276,0.02613870148692684,0.040834635191989606,0.4393939393939394,0.4393939393939394,0.4277456647398842,0.3775510204081632,0.4756097560975611,0.0,0.24390243902439024,0.25230769230769257,0.3421052631578948,0.4999999999999999,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.24999999999999994,0.0,0.2222222222222222,0.2222222222222222,0.16666666666666666,0.2608695652173913,0.0,0.0,0.0,0.0,0.08,0.08,0.06779661016949151,0.1016949152542373,0.0,0.0,0.0,0.0,1.0,1.0,0.7142857142857142,0.7142857142857142,0.7142857142857142,0.7142857142857143,1.0,0.5,0.2222222222222222,0.7894736842105263,0.3529411764705882,1.0,1.0,0.24999999999999994,0.16666666666666666,0.0,0.7359500446030321,0.4129554655870443,0.3638443935926782,0.0,1.6407739618785103e-08,0.2702424879233955,0.1130646800000008
43972106,0.5,0.36363636363636365,0.6156797899599864,0.5,0.36363636363636365,0.6156797899599864,0.0,0.154031242744238,0.96,0.75,0.21212121212121213,0.9327731092436977,0.12426035502958581,0.96,0.35717534434906506,0.35717534434906495,0.3577380299349319,0.3561861382548897,0.2727272727272727,0.2727272727272727,0.28901734104046234,0.2551020408163265,1.0,0.444444444444444,0.08943089430894308,0.8276923076923083,0.10526315789473663,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.75,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.48,0.48,0.4067796610169491,0.4067796610169492,1.0,1.0,1.0,1.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.2222222222222222,0.2631578947368421,0.3529411764705882,0.3333333333333333,0.0,0.75,1.0,0.0,0.13168187744458923,0.3136094674556211,0.9130434782608703,0.0,3.1528204847318505e-08,0.1293223472748293,0.3626580215384614
